year,name,country,cat,category2,Rationale,award,continent
2005,Yuri Suzuki,United States,Physics,5,"""Contribution to Nanoscience and Quantum Engineering""",Maria Goeppert-Mayer,North America
2006,Hui Cao,China,Physics,5,"""For conribution on understanding and controlling light transport, scattering, absorption and amplification in complex photonic nanostructures""",Maria Goeppert-Mayer,Asia
2007,Amy Barger,United States,Physics,5,"""She worked on the Morphs collaboration studying the formation and morphologies of distant galaxies""",Maria Goeppert-Mayer,North America
2008,Vassiliki Kalogera,Greece,Physics,5,"""Leading theorist in the study of gravitational waves, the emission of X-rays from compact binary objects and the coalescence of neutron-star binaries""",Maria Goeppert-Mayer,Europe
2009,Saskia Mioduszewski,United States,Physics,5,"""For work on relativistic heavy-ion collisions""",Maria Goeppert-Mayer,North America
2010,Alessandra Lanzara,Italy,Physics,5,"""For focuse toward an understanding of the underlying physics in complex novel materials and nanostructures.""",Maria Goeppert-Mayer,Europe
2011,R√©ka Albert,Romenia,Physics,5,"""For noted for the Barab√°si Albert model and research into scale-free networks and Boolean modeling of biological systems.""",Maria Goeppert-Mayer,Europe
2012,Nadya Mason,United States,Physics,5,"""For Superconductivity Quantum Computing Nanomaterials""",Maria Goeppert-Mayer,North America
2013,Feryal √ñzel,Turkey,Physics,5,"""Recognized for her contributions to the field of neutron stars, black holes, and magnetars.""",Maria Goeppert-Mayer,Asia
2014,Ana Maria Rey,Colombia,Physics,5,"""For work on Ultracold bosonic atoms loaded in optical lattices""",Maria Goeppert-Mayer,South America
2015,Gretchen Campbell,United States,Physics,5,"""for her pioneering contributions to the study of superfluidity in atomic-gas Bose-Einstein condensates, realizing atomic analogs to superconducting and superfluid liquid circuitry, including the use of weak links to create the first closed-circuit atomtronic devices.""",Maria Goeppert-Mayer,North America
2016,Henriette Elvang,United States,Physics,5,"""For work on aspects of quantum field theory, supersymmetry, gravity, and particle physics""",Maria Goeppert-Mayer,North America
2017,Maiken Mikkelsen,United States,Physics,5,"""leading a research on exploring the behavior of novel nanoscale structures and materials """,Maria Goeppert-Mayer,North America
2012,Shafi Goldwasser,United States,CS,7,"""For transformative work that laid the complexity-theoretic foundations for the science of cryptography and in the process pioneered new methods for efficient verification of mathematical proofs in complexity theory.""",Turing,North America
2008,Barbara Liskov,United States,CS,7,"""For contributions to practical and theoretical foundations of programming language and system design, especially related to data abstraction, fault tolerance, and distributed computing.""",Turing,North America
2006,"Frances E. ""Fran"" Allen",United States,CS,7,"""For pioneering contributions to the theory and practice of optimizing compiler techniques that laid the foundation for modern optimizing compilers and automatic parallel execution.""",Ken Kennedy,North America
2012,Katherine Yelick,United States,CS,7,"""For advancing the programmability of HPC systems, strategic national leadership, and mentorship in academia and government labs.""",Ken Kennedy,North America
2012,Mary Lou Soffa,United States,CS,7,"""For contributions to compiler technology and software engineering, exemplary service to the profession, and life-long dedication to mentoring and improving diversity in computing.""",Ken Kennedy,North America
2011,Susan L. Graham,United States,CS,7, ÄúFor foundational compilation algorithms and programming tools; research and discipline leadership; and exceptional mentoring. Äù,Ken Kennedy,North America
2009,Francine Berman,United States,CS,7,"""For her influential leadership in the design, development and deployment of national-scale cyber infrastructure, her-inspiring work as a teacher and mentor, and her exemplary service to the high performance community. Äù",Ken Kennedy,North America
1980,F. Jessie MacWilliams,England,Math,6,,Noether Lecture,Europe
1981,Olga Taussky-Todd,Austria,Math,6,,Noether Lecture,Europe
1982,Julia Robinson,United States,Math,6,,Noether Lecture,North America
1983,Cathleen S. Morawetz,Canada,Math,6,,Noether Lecture,North America
1984,Mary Ellen Rudin,United States,Math,6,,Noether Lecture,North America
1985,Jane Cronin Scanlon,United States,Math,6,,Noether Lecture,North America
1986,England,France,Math,6,,Noether Lecture,Europe
1987,Joan S. Birman,United States,Math,6,,Noether Lecture,North America
1988,Karen K. Uhlenbeck,United States,Math,6,,Noether Lecture,North America
1989,Mary F. Wheeler,United States,Math,6,,Noether Lecture,North America
1990,Bhama Srinivasan,India,Math,6,,Noether Lecture,Asia
1991,Alexandra Bellow,Romania,Math,6,,Noether Lecture,Europe
1992,Nancy Kopell,United States,Math,6,,Noether Lecture,North America
1993,Linda Keen,United States,Math,6,,Noether Lecture,North America
1994,Lesley Sibner,United States,Math,6,,Noether Lecture,North America
1995,Judith D. Sally,United States,Math,6,,Noether Lecture,North America
1996,Olga Oleinik,Soviet,Math,6,,Noether Lecture,Europe
1997,Linda Preiss Rothschild,United States,Math,6,,Noether Lecture,North America
1998,Dusa McDuff,England,Math,6,,Noether Lecture,Europe
1999,Krystyna M. Kuperberg,Poland,Math,6,,Noether Lecture,Europe
2000,Margaret H. Wright,United States,Math,6,,Noether Lecture,North America
2001,Sun-Yung Alice Chang,Taiwan,Math,6,,Noether Lecture,Asia
2002,Lenore Blum,United States,Math,6,,Noether Lecture,North America
2003,Jean Taylor,United States,Math,6,,Noether Lecture,North America
2004,Svetlana Katok,Russian-American,Math,6,,Noether Lecture,Europe
2005,Lai-Sang Young,China,Math,6,,Noether Lecture,Asia
2006,Ingrid Daubechies, Belgian,Math,6,,Noether Lecture,Europe
2007,Karen Vogtmann,United States,Math,6,,Noether Lecture,North America
2008,Audrey A. Terras,United States,Math,6,,Noether Lecture,North America
2009,Fan Chung Graham,"Taiwan, United States",Math,6,,Noether Lecture,Asia
2010,Carolyn S. Gordon,United States,Math,6,,Noether Lecture,North America
2011,Susan Montgomery,United States,Math,6,,Noether Lecture,North America
2012,Barbara Keyfitz,Canada,Math,6,,Noether Lecture,North America
2013,Raman Parimala,Indian/American,Math,6,,Noether Lecture,Asia
2014,Georgia Benkart,United States,Math,6,,Noether Lecture,North America
2015,Wen-Ching Winnie Li,Chinese-American,Math,6,,Noether Lecture,Asia
2016,Karen E. Smith,United States,Math,6,,Noether Lecture,North America
2017,Lisa Jeffrey,Canada,Math,6,,Noether Lecture,North America
1991,Dusa McDuff,United States,Math,6,"""for her outstanding work during the past five years on symplectic geometry""",Ruth Lyttle Satter,North America
1993,Lai-Sang Young,United States,Math,6,"""for her leading role in the investigation of the statistical (or ergodic) properties of dynamical systems""",Ruth Lyttle Satter,North America
1995,Sun-Yung Alice Chang ,United States,Math,6,"""for her deep contributions to the study of partial differential equations on Riemannian manifolds and in particular for her work on extremal problems in spectral geometry and the compactness of isospectral metrics within a fixed conformal class on a compact 3-manifold""",Ruth Lyttle Satter,North America
1997,Ingrid Daubechies,United States,Math,6,"""for her deep and beautiful analysis of wavelets and their applications""",Ruth Lyttle Satter,North America
1999,Bernadette Perrin-Riou,United States,Math,6,"""for her number theoretical research on p-adic L-functions and Iwasawa theory""",Ruth Lyttle Satter,North America
2001,Karen E. Smith,United States,Math,6,"""for her outstanding work in commutative algebra""",Ruth Lyttle Satter,North America
2001,Sijue Wu,United States,Math,6,"""for her work on a long-standing problem in the water wave equation""",Ruth Lyttle Satter,North America
2003,Abigail Thompson ,United States,Math,6,"""for her outstanding work in 3-dimensional topology""",Ruth Lyttle Satter,North America
2005,Svetlana Jitomirskaya,United States,Math,6,"""for her pioneering work on non-perturbative quasiperiodic localization.""",Ruth Lyttle Satter,North America
2007,Claire Voisin,United States,Math,6,"""for her deep contributions to algebraic geometry, and in particular for her recent solutions to two long-standing open problems""",Ruth Lyttle Satter,North America
2009,Laure Saint-Raymond,United States,Math,6,"""for her fundamental work on the hydrodynamic limits of the Boltzmann equation in the kinetic theory of gases""",Ruth Lyttle Satter,North America
2011,Amie Wilkinson,United States,Math,6,"""for her remarkable contributions to the field of ergodic theory of partially hyperbolic dynamical systems""",Ruth Lyttle Satter,North America
2013,Maryam Mirzakhani,United States,Math,6,"""for her deep contributions to the theory of moduli spaces of Riemann surfaces""",Ruth Lyttle Satter,North America
2015,Hee Oh ,United States,Math,6,"""for her fundamental contributions to the fields of dynamics on homogeneous spaces, discrete subgroups of Lie groups, and applications to number theory""",Ruth Lyttle Satter,North America
2017,Laura DeMarco,United States,Math,6,"""for her fundamental contributions to complex dynamics, potential theory, and the emerging field of arithmetic dynamics""",Ruth Lyttle Satter,North America
2004,J.K Rowling,England,Art,1,"""Novelist. Best known for writing Harry Poter series.""",Times 100People,Europe
2004,Katie Couric,United States,Art,1,"""American journalist and author. She recently served as Yahoo! Global News Anchor.""",Times 100People,North America
2004,Aishwarya Rai,India,Art,1,"""Is the most recognized female face in Bollywood, as the Indian film industry.""",Times 100People,Asia
2004,Nicole Kidman,Australian,Art,1,"""She is the recipient of multiple awards, including an Academy Award, two Primetime Emmy Awards, five Golden Globe Awards, and the Silver Bear """,Times 100People,Australia
2004,Condoleezza Rice,United States,Leadership,8,"""American political scientist and diplomat.""",Times 100People,North America
2004,Luisa Diogo,Mozambique,Leadership,8,"""Prime Minister of Mozambique from February 2004 to January 2010.""",Times 100People,North America
2004,Wu Yi,China,Leadership,8,"""Vice Premier and Health Minister of China.""",Times 100People,Africa
2004,Louise Arbour,Canada,Pioneers,9,""" Lawyer, prosecutor and jurist. She is currently the UN Special Representative for International Migration..""",Times 100People,Asia
