year,yearMap,name,country,cat,category2,catMap,Rationale,award,continent,,,
1997,1994,Margaret Murnane,Ireland,Physics,5,4.4,"""For her works with lasers. She built a laser that flashed for ten quadrillionths of a second - the fastest that any human being has ever created.""",Maria Goeppert-Mayer,Europe,1,1,0
1990,1995,Ellen D. Williams,United States,Physics,5,4.4,""" For her research in surface properties and nanotechnology""",Maria Goeppert-Mayer,North America,2,2,0
1991,1996,Alice E. White,United States,Physics,5,4.4,"""For career in physics with focus on Nanofabrication""",Maria Goeppert-Mayer,North America,3,3,0
1992,1997,Barbara Cooper,United States,Physics,5,4.4,"""For her innovative experimental studies of low-energy ion interactions with metal surfaces""",Maria Goeppert-Mayer,North America,4,4,0
1994,1993,Laura Greene,United States,Physics,5,4.6,"""She is noted for her research on Andreev bound states and is an expert in strongly correlated Fermionic systems""",Maria Goeppert-Mayer,North America,5,0,1
1995,1994,Jacqueline Hewitt,United States,Physics,5,4.6,"""She was the first person to discover Einstein rings""",Maria Goeppert-Mayer,North America,6,1,1
1996,1995,Marjorie Ann Olmstead,United States,Physics,5,4.6,"""For her innovative application of electron spectroscopies to surfaces and interfaces that has elucidated the importance of interfacial reactions on the structure""",Maria Goeppert-Mayer,North America,7,2,1
1998,1996,Elizabeth Beise,United States,Physics,5,4.6,""" For her research in experimental nuclear physics focuses on the use of electromagnetic and weak probes of the internal structure of protons""",Maria Goeppert-Mayer,North America,8,3,1
1999,1997,Andrea M. Ghez,United States,Physics,5,4.6,"""For use of adaptive optics in studies of the galactic center""",Maria Goeppert-Mayer,North America,9,4,1
2003,2003,Chung-Pei Ma,Taiwan,Physics,5,4.4,""" For works on large-scale structure of the universe, dark matter, and the cosmic microwave background.""",Maria Goeppert-Mayer,Asia,0,0,0
2006,2004,Hui Cao,China,Physics,5,4.4,"""For conribution on understanding and controlling light transport, scattering, absorption and amplification in complex photonic nanostructures""",Maria Goeppert-Mayer,Asia,1,1,0
2008,2005,Vassiliki Kalogera,Greece,Physics,5,4.4,"""Leading theorist in the study of gravitational waves, the emission of X-rays from compact binary objects and the coalescence of neutron-star binaries""",Maria Goeppert-Mayer,Europe,2,2,0
2000,2006,Sharon Glotzer,United States,Physics,5,4.4,"""For her contributions to the fields of soft matter and computational science""",Maria Goeppert-Mayer,North America,3,3,0
2001,2007,Janet Conrad,United States,Physics,5,4.4,""" For work on the lightest known matter particles, the neutrino""",Maria Goeppert-Mayer,North America,4,4,0
2002,2003,Deborah S. Jin,United States,Physics,5,4.6,"""Considered a pioneer in polar molecular quantum chemistry""",Maria Goeppert-Mayer,North America,5,0,1
2004,2004,Suzanne Staggs,United States,Physics,5,4.6,"""For working on measurements of the cosmic microwave background (CMB) radiation left over from the universal primeval plasma""",Maria Goeppert-Mayer,North America,6,1,1
2005,2005,Yuri Suzuki,United States,Physics,5,4.6,"""Contribution to Nanoscience and Quantum Engineering""",Maria Goeppert-Mayer,North America,7,2,1
2007,2006,Amy Barger,United States,Physics,5,4.6,"""She worked on the Morphs collaboration studying the formation and morphologies of distant galaxies""",Maria Goeppert-Mayer,North America,8,3,1
2009,2007,Saskia Mioduszewski,United States,Physics,5,4.6,"""For work on relativistic heavy-ion collisions""",Maria Goeppert-Mayer,North America,9,4,1
2013,2013,Feryal Ozel,Turkey,Physics,5,4.4,"""Recognized for her contributions to the field of neutron stars, black holes, and magnetars.""",Maria Goeppert-Mayer,Asia,0,0,0
2010,2014,Alessandra Lanzara,Italy,Physics,5,4.4,"""For focuse toward an understanding of the underlying physics in complex novel materials and nanostructures.""",Maria Goeppert-Mayer,Europe,1,1,0
2011,2015,Recka Albert,Romenia,Physics,5,4.4,"""For noted for the Barabási Albert model and research into scale-free networks and Boolean modeling of biological systems.""",Maria Goeppert-Mayer,Europe,2,2,0
2012,2016,Nadya Mason,United States,Physics,5,4.4,"""For Superconductivity Quantum Computing Nanomaterials""",Maria Goeppert-Mayer,North America,3,3,0
2015,2013,Gretchen Campbell,United States,Physics,5,4.6,"""For her pioneering contributions to the study of superfluidity in atomic-gas Bose-Einstein condensates, realizing atomic analogs to superconducting and superfluid liquid circuitry, including the use of weak links to create the first closed-circuit atomtronic devices.""",Maria Goeppert-Mayer,North America,4,0,1
2016,2014,Henriette Elvang,United States,Physics,5,4.6,"""For work on aspects of quantum field theory, supersymmetry, gravity, and particle physics""",Maria Goeppert-Mayer,North America,5,1,1
2017,2015,Maiken Mikkelsen,United States,Physics,5,4.6,"""Leading a research on exploring the behavior of novel nanoscale structures and materials """,Maria Goeppert-Mayer,North America,6,2,1
2014,2016,Ana Maria Rey,Colombia,Physics,5,4.6,"""For work on Ultracold bosonic atoms loaded in optical lattices""",Maria Goeppert-Mayer,South America,7,3,1
1980,1983,F. Jessie MacWilliams,England,Math,6,5.4,,Noether Lecture,Europe,0,0,0
1981,1984,Olga Taussky-Todd,Austria,Math,6,5.4,,Noether Lecture,Europe,1,1,0
1986,1985,Yvonne Choquet-Bruhat,France,Math,6,5.4,,Noether Lecture,Europe,2,2,0
1982,1986,Julia Robinson,United States,Math,6,5.4,,Noether Lecture,North America,3,3,0
1983,1987,Cathleen S. Morawetz,Canada,Math,6,5.4,,Noether Lecture,North America,4,4,0
1984,1983,Mary Ellen Rudin,United States,Math,6,5.6,,Noether Lecture,North America,5,0,1
1985,1984,Jane Cronin Scanlon,United States,Math,6,5.6,,Noether Lecture,North America,6,1,1
1987,1985,Joan S. Birman,United States,Math,6,5.6,,Noether Lecture,North America,7,2,1
1988,1986,Karen K. Uhlenbeck,United States,Math,6,5.6,,Noether Lecture,North America,8,3,1
1989,1987,Mary F. Wheeler,United States,Math,6,5.6,,Noether Lecture,North America,9,4,1
1990,1993,Bhama Srinivasan,India,Math,6,5.3,,Noether Lecture,Asia,0,0,0
1991,1994,Alexandra Bellow,Romania,Math,6,5.3,,Noether Lecture,Europe,1,1,0
1996,1995,Olga Oleinik,Soviet,Math,6,5.3,,Noether Lecture,Europe,2,2,0
1998,1996,Dusa McDuff,England,Math,6,5.3,,Noether Lecture,Europe,3,3,0
1999,1997,Krystyna M. Kuperberg,Poland,Math,6,5.3,,Noether Lecture,Europe,4,4,0
1991,1993,Dusa McDuff,United States,Math,6,5.5,"""For her outstanding work during the past five years on symplectic geometry""",Ruth Lyttle Satter,North America,5,0,1
1992,1994,Nancy Kopell,United States,Math,6,5.5,,Noether Lecture,North America,6,1,1
1993,1995,Linda Keen,United States,Math,6,5.5,,Noether Lecture,North America,7,2,1
1993,1996,Lai-Sang Young,United States,Math,6,5.5,"""For her leading role in the investigation of the statistical (or ergodic) properties of dynamical systems""",Ruth Lyttle Satter,North America,8,3,1
1994,1997,Lesley Sibner,United States,Math,6,5.5,,Noether Lecture,North America,9,4,1
1995,1993,Judith D. Sally,United States,Math,6,5.7,,Noether Lecture,North America,10,0,2
1995,1994,Sun-Yung Alice Chang ,United States,Math,6,5.7,"""For her deep contributions to the study of partial differential equations on Riemannian manifolds and in particular for her work on extremal problems in spectral geometry and the compactness of isospectral metrics within a fixed conformal class on a compact 3-manifold""",Ruth Lyttle Satter,North America,11,1,2
1997,1995,Linda Preiss Rothschild,United States,Math,6,5.7,,Noether Lecture,North America,12,2,2
1997,1996,Ingrid Daubechies,United States,Math,6,5.7,"""For her deep and beautiful analysis of wavelets and their applications""",Ruth Lyttle Satter,North America,13,3,2
1999,1997,Bernadette Perrin-Riou,United States,Math,6,5.7,"""For her number theoretical research on p-adic L-functions and Iwasawa theory""",Ruth Lyttle Satter,North America,14,4,2
2001,2003,Sun-Yung Alice Chang,Taiwan,Math,6,5.2,,Noether Lecture,Asia,0,0,0
2005,2004,Lai-Sang Young,China,Math,6,5.2,,Noether Lecture,Asia,1,1,0
2009,2005,Fan Chung Graham,"Taiwan, United States",Math,6,5.2,,Noether Lecture,Asia,2,2,0
2004,2006,Svetlana Katok,Russian-American,Math,6,5.2,,Noether Lecture,Europe,3,3,0
2006,2007,Ingrid Daubechies, Belgian,Math,6,5.2,,Noether Lecture,Europe,4,4,0
2000,2003,Margaret Wright,United States,Math,6,5.4,,Noether Lecture,North America,5,0,1
2001,2004,Karen Smith,United States,Math,6,5.4,"""For her outstanding work in commutative algebra""",Ruth Lyttle Satter,North America,6,1,1
2001,2005,Sijue Wu,United States,Math,6,5.4,"""For her work on a long-standing problem in the water wave equation""",Ruth Lyttle Satter,North America,7,2,1
2002,2006,Lenore Blum,United States,Math,6,5.4,,Noether Lecture,North America,8,3,1
2003,2007,Jean Taylor,United States,Math,6,5.4,,Noether Lecture,North America,9,4,1
2003,2003,Abigail Thompson ,United States,Math,6,5.6,"""For her outstanding work in 3-dimensional topology""",Ruth Lyttle Satter,North America,10,0,2
2005,2004,Svetlana Jitomirskaya,United States,Math,6,5.6,"""For her pioneering work on non-perturbative quasiperiodic localization.""",Ruth Lyttle Satter,North America,11,1,2
2007,2005,Karen Vogtmann,United States,Math,6,5.6,,Noether Lecture,North America,12,2,2
2007,2006,Claire Voisin,United States,Math,6,5.6,"""For her deep contributions to algebraic geometry, and in particular for her recent solutions to two long-standing open problems""",Ruth Lyttle Satter,North America,13,3,2
2008,2007,Audrey Terras,United States,Math,6,5.6,,Noether Lecture,North America,14,4,2
2009,2003,Laure Saint-Raymond,United States,Math,6,5.8,"""For her fundamental work on the hydrodynamic limits of the Boltzmann equation in the kinetic theory of gases""",Ruth Lyttle Satter,North America,15,0,3
2013,2013,Raman Parimala,Indian/American,Math,6,5.3,,Noether Lecture,Asia,0,0,0
2015,2014,Wen-Ching Winnie Li,Chinese-American,Math,6,5.3,,Noether Lecture,Asia,1,1,0
2010,2015,Carolyn Gordon,United States,Math,6,5.3,,Noether Lecture,North America,2,2,0
2011,2016,Susan Montgomery,United States,Math,6,5.3,,Noether Lecture,North America,3,3,0
2011,2013,Amie Wilkinson,United States,Math,6,5.5,"""For her remarkable contributions to the field of ergodic theory of partially hyperbolic dynamical systems""",Ruth Lyttle Satter,North America,4,0,1
2012,2014,Barbara Keyfitz,Canada,Math,6,5.5,,Noether Lecture,North America,5,1,1
2013,2015,Maryam Mirzakhani,United States,Math,6,5.5,"""For her deep contributions to the theory of moduli spaces of Riemann surfaces""",Ruth Lyttle Satter,North America,6,2,1
2014,2016,Georgia Benkart,United States,Math,6,5.5,,Noether Lecture,North America,7,3,1
2015,2013,Hee Oh ,United States,Math,6,5.7,"""For her fundamental contributions to the fields of dynamics on homogeneous spaces, discrete subgroups of Lie groups, and applications to number theory""",Ruth Lyttle Satter,North America,8,0,2
2016,2014,Karen Smith,United States,Math,6,5.7,,Noether Lecture,North America,9,1,2
2017,2015,Lisa Jeffrey,Canada,Math,6,5.7,,Noether Lecture,North America,10,2,2
2017,2016,Laura DeMarco,United States,Math,6,5.7,"""for her fundamental contributions to complex dynamics, potential theory, and the emerging field of arithmetic dynamics""",Ruth Lyttle Satter,North America,11,3,2
